gas_valve_position_percent,measured_ch4_percent,voltage,diesel_mass_flow,water_flow,ch4_volumeflow_raw,current_phase_1,current_phase_2,power_output,boost_pressure,exhaust_pressure,ch4_volumeflow,co2_volumeflow_raw,co2_volumeflow_processed,generator_frequency,cooling_water_out_temp,cooling_water_in_temp,exhaust_temp,calculated_ch4_share_percent,ch4_mass_flow_calc,des_percent,efficiency_electric,efficiency_thermal,sheet
29.5,51.984,230.47,0.4,5.34,78.38,8.455,8.497,5.905,0.901,2.221,51.3,22.359,0.0,52.753,100.0,100.0,234.404,100.0,3.359142857142857,9.225554799139625,11.482250814994739,0.0,P6C70_1
29.5,51.684,230.782,0.449,5.131,78.052,8.449,8.501,5.919,0.884,1.913,51.3,22.223,0.0,52.861,100.0,100.0,234.357,100.00000000000001,3.3450857142857156,10.278568970361084,11.42376548708512,0.0,P6C70_1
29.5,52.859,230.372,0.424,5.652,76.503,8.462,8.493,5.906,0.889,1.901,51.3,22.015,0.0,52.843,100.0,100.0,234.604,100.0,3.2787,9.94014648034137,11.673336264771002,0.0,P6C70_1
29.5,52.025,230.831,0.403,5.126,77.54,8.486,8.508,5.919,0.875,1.927,51.5,21.755,0.0,52.869,100.0,100.0,234.921,100.0,3.323142857142858,9.379503390667345,11.614426348620475,0.0,P6C70_1
29.5,51.828,230.503,0.445,4.987,77.528,8.476,8.496,5.91,0.884,1.913,51.3,21.599,0.0,52.922,100.0,100.0,234.242,100.00000000000001,3.322628571428573,10.25818308330366,11.48609863854794,0.0,P6C70_1
29.5,51.877,230.815,0.443,4.993,77.364,8.49,8.498,5.918,0.873,1.895,51.4,21.588,0.0,52.763,100.0,100.0,234.909,100.0,3.3156000000000003,10.236230340762283,11.528847921287808,0.0,P6C70_1
29.5,52.982,230.618,0.419,5.538,77.626,8.483,8.499,5.91,0.896,1.924,51.4,21.642,0.0,52.934,100.0,100.0,234.719,100.0,3.3268285714285715,9.705991485725905,11.542183902248821,0.0,P6C70_1
29.5,52.0,230.848,0.42,5.359,77.696,8.477,8.5,5.918,0.899,1.913,51.4,21.717,0.0,52.824,100.0,100.0,234.776,99.99999999999999,3.329828571428571,9.718991229375701,11.545732371116506,0.0,P6C70_1
29.5,51.758,230.519,0.387,5.545,77.807,8.474,8.511,5.919,0.916,1.91,51.3,21.876,0.0,52.91,100.0,100.0,234.632,99.99999999999999,3.334585714285714,9.012554880860229,11.62143942918396,0.0,P6C70_1
29.5,52.169,230.864,0.412,5.54,78.161,8.463,8.496,5.918,0.917,1.919,51.4,22.173,0.0,52.851,100.0,100.0,234.636,100.0,3.3497571428571433,9.500123535287337,11.504867550453016,0.0,P6C70_1
29.5,51.68,230.897,0.423,5.79,78.143,8.681,8.504,5.918,0.881,1.912,51.4,22.383,0.0,52.918,100.0,100.0,235.542,100.0,3.3489857142857145,9.731113334434818,11.478146138459365,0.0,P6C70_1
29.5,51.951,230.799,0.71,5.484,78.486,8.676,8.505,5.914,0.894,1.934,51.3,22.471,0.0,52.962,100.0,100.0,234.946,100.0,3.3636857142857144,15.26518868723142,10.720123139711442,0.0,P6C70_1
,,,,,,,,,,1.0361578947368417,,,,,,,,,,,,,P6C70_1
13.0,52.008,230.782,0.436,5.307,77.449,8.537,8.497,5.915,0.901,2.688,50.8,22.317,0.0,52.727,100.0,100.0,236.069,100.0,3.319242857142857,10.080847335255584,11.530281844580944,0.0,P6C70_2
13.0,51.635,230.536,0.423,5.451,77.203,8.542,8.496,5.909,0.886,2.695,50.8,22.327,0.0,52.642,100.0,100.0,236.709,100.0,3.308700000000001,9.83794008858378,11.58650415734547,0.0,P6C70_2
13.0,51.709,230.766,0.402,5.534,77.517,8.56,8.499,5.916,0.894,2.684,50.8,22.367,0.0,52.83,100.0,100.0,236.107,100.0,3.322157142857143,9.36092408091351,11.614364751515469,0.0,P6C70_2
13.0,51.261,230.158,0.396,5.683,77.228,8.539,8.496,5.908,0.896,2.684,50.8,22.374,0.0,52.81,100.0,100.0,235.755,100.0,3.309771428571428,9.265464099222163,11.654324440750381,0.0,P6C70_2
13.0,51.524,230.848,0.438,5.062,77.415,8.566,8.502,5.917,0.91,2.698,50.7,22.378,0.0,52.887,100.0,100.0,235.595,100.0,3.317785714285715,10.126404395142696,11.533399917755478,0.0,P6C70_2
13.0,51.844,230.421,0.425,5.476,77.281,8.545,8.493,5.906,0.906,2.673,50.7,22.364,0.0,52.812,100.0,100.0,235.663,100.00000000000001,3.312042857142858,9.870872069504793,11.564707733460978,0.0,P6C70_2
13.0,51.692,230.831,0.428,5.675,77.113,8.566,8.499,5.917,0.884,2.687,50.8,22.369,0.0,52.772,100.0,100.0,235.692,100.0,3.3048428571428574,9.953114980241503,11.600893695261458,0.0,P6C70_2
13.0,51.475,230.569,0.445,5.506,77.232,8.542,8.502,5.908,0.887,2.694,50.8,22.349,0.0,52.771,100.0,100.0,235.538,100.0,3.309942857142857,10.293451748356754,11.521688632236936,0.0,P6C70_2
13.0,51.425,230.897,0.384,5.343,77.256,8.565,8.496,5.918,0.892,2.674,50.8,22.338,0.0,52.822,100.0,100.0,236.436,100.00000000000001,3.3109714285714293,9.007018577597327,11.703059706283877,0.0,P6C70_2
13.0,51.627,230.519,0.454,5.363,77.293,8.548,8.5,5.907,0.904,2.692,50.8,22.313,0.0,52.82,100.0,100.0,235.817,100.0,3.3125571428571434,10.47241223163172,11.48768379886798,0.0,P6C70_2
13.0,51.836,230.782,0.428,5.768,77.215,8.558,8.503,5.916,0.917,2.688,50.8,22.252,0.0,52.715,100.0,100.0,235.798,100.0,3.309214285714286,9.941274118352652,11.585134258958801,0.0,P6C70_2
13.0,51.758,230.552,0.402,5.663,77.321,8.55,8.5,5.907,0.914,2.685,50.8,22.22,0.0,52.737,100.0,100.0,236.268,100.0,3.313757142857143,9.382426620722981,11.62333406591156,0.0,P6C70_2
13.0,51.454,230.782,0.464,5.561,76.944,8.564,8.503,5.917,0.894,2.693,50.8,22.198,0.0,52.761,100.0,100.0,235.72,100.0,3.2976,10.721692044570307,11.527139353337287,0.0,P6C70_2
13.0,51.495,230.503,0.379,5.668,77.134,8.538,8.508,5.908,0.887,2.692,50.7,22.168,0.0,52.82,100.0,100.0,235.97,100.0,3.3057428571428575,8.913000111426763,11.713854205873556,0.0,P6C70_2
13.0,51.684,230.634,0.428,5.882,76.899,9.228,9.1,6.18,0.887,2.691,50.8,22.123,0.0,52.579,100.0,100.0,235.801,100.0,3.295671428571429,9.978049472030865,12.146886813770417,0.0,P6C70_2
